Name,Start Date,End Date
2025-01-01,2025-01-07,2025-01-20
2025-01-02,2025-01-21,2025-02-03
2025-02-01,2025-02-04,2025-02-17
2025-02-02,2025-02-18,2025-03-03
2025-03-01,2025-03-04,2025-03-17
2025-03-02,2025-03-18,2025-03-31
2025-04-01,2025-04-01,2025-04-14
2025-04-02,2025-04-15,2025-04-28
2025-04-03,2025-04-29,2025-05-12
2025-05-01,2025-05-13,2025-05-26
2025-05-02,2025-05-27,2025-06-09
2025-06-01,2025-06-10,2025-06-23
2025-06-02,2025-06-24,2025-07-07
2025-07-01,2025-07-08,2025-07-21
2025-07-02,2025-07-22,2025-08-04
2025-08-01,2025-08-05,2025-08-18
2025-08-02,2025-08-19,2025-09-01
2025-09-01,2025-09-02,2025-09-15
2025-09-02,2025-09-16,2025-09-29
2025-09-03,2025-09-30,2025-10-13
2025-10-01,2025-10-14,2025-10-27
2025-10-02,2025-10-28,2025-11-10
2025-11-01,2025-11-11,2025-11-24
2025-11-02,2025-11-25,2025-12-08
2025-12-01,2025-12-09,2025-12-22
